sessionId,model,actionId,s_t_img,s_t1_img,after_yaw,after_pitch,delta_yaw,delta_pitch,init_yaw,init_pitch,t_start_ms,t_end_ms,duration_ms,server_received_ms
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246024577-124041_before.png,1779246024577-124041_after.png,255.0767330165697,9.961558098090336,5,0,,,1779246024577,1779246024633,56,1779246024645
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246024831-980274_before.png,1779246024831-980274_after.png,260.07673301656973,9.961558098090336,5,0,,,1779246024831,1779246024893,62,1779246024900
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246025158-358752_before.png,1779246025158-358752_after.png,265.07673301656973,9.961558098090336,5,0,,,1779246025158,1779246025213,55,1779246025242
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246025415-631347_before.png,1779246025415-631347_after.png,270.07673301656973,9.961558098090336,5,0,,,1779246025415,1779246025475,60,1779246025484
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246025672-213478_before.png,1779246025672-213478_after.png,275.0767330165697,9.961558098090336,5,0,,,1779246025672,1779246025725,53,1779246025739
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246025949-665447_before.png,1779246025949-665447_after.png,280.07673301656973,9.961558098090336,5,0,,,1779246025949,1779246026008,59,1779246026014
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246026740-207070_before.png,1779246026740-207070_after.png,285.07673301656973,9.961558098090336,5,0,,,1779246026740,1779246026793,53,1779246026801
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246026943-47186_before.png,1779246026943-47186_after.png,290.07673301656973,9.961558098090336,5,0,,,1779246026943,1779246026994,51,1779246027005
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246027134-189385_before.png,1779246027134-189385_after.png,295.07673301656973,9.961558098090336,5,0,,,1779246027134,1779246027188,54,1779246027194
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246027350-902586_before.png,1779246027350-902586_after.png,300.07673301656973,9.961558098090336,5,0,,,1779246027350,1779246027405,55,1779246027416
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246027581-734139_before.png,1779246027581-734139_after.png,305.07673301656973,9.961558098090336,5,0,,,1779246027581,1779246027633,52,1779246027641
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246027812-249528_before.png,1779246027812-249528_after.png,310.0767330165697,9.961558098090336,5,0,,,1779246027812,1779246027866,54,1779246027872
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246028063-527869_before.png,1779246028063-527869_after.png,315.0767330165697,9.961558098090336,5,0,,,1779246028063,1779246028126,63,1779246028145
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246028290-924302_before.png,1779246028290-924302_after.png,320.07673301656973,9.961558098090336,5,0,,,1779246028290,1779246028342,52,1779246028348
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246028526-238980_before.png,1779246028526-238980_after.png,325.07673301656973,9.961558098090336,5,0,,,1779246028526,1779246028583,57,1779246028590
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246028796-522323_before.png,1779246028796-522323_after.png,330.0767330165697,9.961558098090336,5,0,,,1779246028796,1779246028850,54,1779246028866
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246029025-385709_before.png,1779246029025-385709_after.png,335.07673301656973,9.961558098090336,5,0,,,1779246029025,1779246029077,52,1779246029085
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246029249-102952_before.png,1779246029249-102952_after.png,340.07673301656973,9.961558098090336,5,0,,,1779246029249,1779246029302,53,1779246029308
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246029472-644503_before.png,1779246029472-644503_after.png,345.0767330165697,9.961558098090336,5,0,,,1779246029472,1779246029526,54,1779246029534
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246029690-557328_before.png,1779246029690-557328_after.png,350.0767330165697,9.961558098090336,5,0,,,1779246029690,1779246029744,54,1779246029754
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246029922-597141_before.png,1779246029922-597141_after.png,355.0767330165697,9.961558098090336,5,0,,,1779246029921,1779246029977,56,1779246029987
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246030182-394471_before.png,1779246030182-394471_after.png,0.07673301656967624,9.961558098090336,5,0,,,1779246030182,1779246030236,54,1779246030244
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246030591-606666_before.png,1779246030591-606666_after.png,5.076733016569733,9.961558098090336,5,0,,,1779246030591,1779246030644,53,1779246030656
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246030866-285345_before.png,1779246030866-285345_after.png,10.076733016569733,9.961558098090336,5,0,,,1779246030866,1779246030918,52,1779246030924
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246031158-182717_before.png,1779246031158-182717_after.png,15.076733016569676,9.961558098090336,5,0,,,1779246031158,1779246031210,52,1779246031227
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246031428-476011_before.png,1779246031428-476011_after.png,20.076733016569733,9.961558098090336,5,0,,,1779246031428,1779246031481,53,1779246031488
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246031690-921101_before.png,1779246031690-921101_after.png,25.076733016569733,9.961558098090336,5,0,,,1779246031690,1779246031744,54,1779246031754
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246031943-6874_before.png,1779246031943-6874_after.png,30.076733016569733,9.961558098090336,5,0,,,1779246031943,1779246031999,56,1779246032010
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246032201-36122_before.png,1779246032201-36122_after.png,35.07673301656973,9.961558098090336,5,0,,,1779246032201,1779246032266,65,1779246032273
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246032448-429230_before.png,1779246032448-429230_after.png,40.07673301656973,9.961558098090336,5,0,,,1779246032448,1779246032502,54,1779246032513
RUN-1779244566717,Set_1_orig_matte_0.glb,3,1779246032741-132770_before.png,1779246032741-132770_after.png,45.07673301656973,9.961558098090336,5,0,,,1779246032741,1779246032799,58,1779246032811
RUN-1779244566717,Set_1_elong_glossy_3.glb,-1,,,,,,,229.87925979145703,327.20224866894284,,,,1779246064559
